launch,segment,canal,weeks_to_half_life,censored,event_observed,recommandation
J'adore Intense,Core Fragrance,Retail,10,False,True,"Vélocité courte : activer CRM / relance retargeting rapidement, ne pas sur-stocker au-delà de S+8"
Dior Addict (EdP),Core Fragrance,Retail,11,False,True,"Vélocité courte : activer CRM / relance retargeting rapidement, ne pas sur-stocker au-delà de S+8"
Sauvage Elixir,Core Fragrance,Travel Retail,14,False,True,"Vélocité standard : maintenir la distribution actuelle, réassort classique"
Miss Dior Essence,Core Fragrance,Retail,17,False,True,Vélocité longue (fidélité forte) : investir en storytelling / contenu de marque plutôt qu'en promotion prix
Dior Homme,Core Fragrance,Retail,13,False,True,"Vélocité standard : maintenir la distribution actuelle, réassort classique"
Cuir Saddle (Collection Privee),Haute Parfumerie,Retail,18,False,True,Vélocité longue (fidélité forte) : investir en storytelling / contenu de marque plutôt qu'en promotion prix
Forever Skin Glow,Maquillage,E-commerce,10,False,True,"Vélocité courte : activer CRM / relance retargeting rapidement, ne pas sur-stocker au-delà de S+8"
Backstage Airflash Mist,Maquillage,E-commerce,8,False,True,"Vélocité courte : activer CRM / relance retargeting rapidement, ne pas sur-stocker au-delà de S+8"
Rouge Dior Limited Edition,Limited Edition,E-commerce,7,False,True,"Vélocité courte : activer CRM / relance retargeting rapidement, ne pas sur-stocker au-delà de S+8"
Noel Capsule Coffret,Limited Edition,Travel Retail,8,False,True,"Vélocité courte : activer CRM / relance retargeting rapidement, ne pas sur-stocker au-delà de S+8"
